id,human_readable_id,source,target,description,weight,combined_degree,text_unit_ids
a0673634-6e92-4e4d-b6d5-716784154b2f,10,JUAN CAZORLA,MANUEL HUANCACHOQUE,Juan Cazorla relata los disturbios y la violencia sufrida por Manuel Huancachoque en San Pedro de Cacha.,7.0,35,['12ecd7c50e9c677df7e4127a1ea4de59f872f9eef638be0b979a40289364f6f32f4e5ddb760bc1e94313ce1ac2234c8073abad37bcfda5c68674b23820d1ff2f']
6d600887-a9c4-4be7-bd2e-a3c2269c8cce,11,FERNANDO ORUE,MANUEL HUANCACHOQUE,Fernando Orue atestigua sobre el alboroto causado por los indios del Ayllu de Tinta contra Manuel Huancachoque.,8.0,35,['12ecd7c50e9c677df7e4127a1ea4de59f872f9eef638be0b979a40289364f6f32f4e5ddb760bc1e94313ce1ac2234c8073abad37bcfda5c68674b23820d1ff2f']
f3cf38d5-eb1e-465e-8e75-fa854711cf50,12,MANUEL HUANCACHOQUE,DON ANDRÉS CHOQUITAPA,Manuel Huancachoque denunció a Don Andrés Choquitapa por ocultar indios tributarios.,9.0,34,['12ecd7c50e9c677df7e4127a1ea4de59f872f9eef638be0b979a40289364f6f32f4e5ddb760bc1e94313ce1ac2234c8073abad37bcfda5c68674b23820d1ff2f']
fb4eaa44-c95b-4258-92cb-368e25fe4e38,13,MANUEL HUANCACHOQUE,MARTÍN CAZORLA,Martín Cazorla certifica el maltrato sufrido por Manuel Huancachoque y defiende su denuncia a favor de la Real Hacienda.,8.0,34,['12ecd7c50e9c677df7e4127a1ea4de59f872f9eef638be0b979a40289364f6f32f4e5ddb760bc1e94313ce1ac2234c8073abad37bcfda5c68674b23820d1ff2f']
3a0b8ce7-6ead-46ce-904d-40005f617782,14,MANUEL HUANCACHOQUE,SEÑOR FISCAL PROTECTOR GENERAL DE NATURALES,El Señor Fiscal Protector General de Naturales está involucrado en el proceso de investigación de la denuncia presentada por Manuel Huancachoque.,7.0,34,['12ecd7c50e9c677df7e4127a1ea4de59f872f9eef638be0b979a40289364f6f32f4e5ddb760bc1e94313ce1ac2234c8073abad37bcfda5c68674b23820d1ff2f']
4c31d452-885e-4f49-8f10-fdff8d611a89,15,TÚPAC AMARU,AYLLU TINTA,Túpac Amaru es mencionado como un insurgente a favor del cual algunos indios del Ayllu de Tinta se alzaron.,6.0,7,['12ecd7c50e9c677df7e4127a1ea4de59f872f9eef638be0b979a40289364f6f32f4e5ddb760bc1e94313ce1ac2234c8073abad37bcfda5c68674b23820d1ff2f']
e0757af0-1f73-4a54-9cfb-c24fe4428c0d,16,TÚPAC AMARU,DON JUAN ANTONIO REPARAZ,Don Juan Antonio Reparaz fue el corregidor durante un alzamiento relacionado con Túpac Amaru.,1.0,6,['12ecd7c50e9c677df7e4127a1ea4de59f872f9eef638be0b979a40289364f6f32f4e5ddb760bc1e94313ce1ac2234c8073abad37bcfda5c68674b23820d1ff2f']
546a47bd-bd76-44bd-9123-ffb2d2edba30,17,TINTA,CUSCO,Cusco es la ciudad donde se emitieron órdenes para investigar las denuncias ocurridas en Tinta.,1.0,7,['12ecd7c50e9c677df7e4127a1ea4de59f872f9eef638be0b979a40289364f6f32f4e5ddb760bc1e94313ce1ac2234c8073abad37bcfda5c68674b23820d1ff2f']
70666143-e393-44a2-961b-73a8ff6f9806,18,MANUEL HUANCACHOQUE,PRESIDENTE,Manuel Huancachoque solicita al Presidente protección y justicia por los maltratos sufridos debido a su denuncia.,7.0,34,['24503ee42054d27f1e74c0adc8e8f3b952fe57e1474e3f377de153ba8f8c8f954e165e1c52e9ae8893a77f359b9c022df6b5838acf7bd2efac84489c4f88057f']
631552cb-e264-48d2-847e-639965d3d3b8,19,MANUEL HUANCACHOQUE,TINTA,Tinta es el lugar donde Manuel Huancachoque ha sufrido maltratos y encarcelamiento tras su denuncia.,1.0,39,['24503ee42054d27f1e74c0adc8e8f3b952fe57e1474e3f377de153ba8f8c8f954e165e1c52e9ae8893a77f359b9c022df6b5838acf7bd2efac84489c4f88057f']
bbea1747-9daf-4a05-b20f-6b14abeb148a,20,MANUEL HUANCACHOQUE,FISCAL DE SU MAJESTAD,El Fiscal de su Majestad acompaña el escrito de Manuel Huancachoque y solicita medidas para protegerlo de los maltratos sufridos.,8.0,35,['24503ee42054d27f1e74c0adc8e8f3b952fe57e1474e3f377de153ba8f8c8f954e165e1c52e9ae8893a77f359b9c022df6b5838acf7bd2efac84489c4f88057f']
5eb182c2-dfe7-4a38-af1e-ccfbcad9df34,21,ANDRÉS CHUQUITAPA,FISCAL DE SU MAJESTAD,El Fiscal de su Majestad solicita que se tomen medidas para que Andrés Chuquitapa no cause más daño a Manuel Huancachoque.,1.0,13,['24503ee42054d27f1e74c0adc8e8f3b952fe57e1474e3f377de153ba8f8c8f954e165e1c52e9ae8893a77f359b9c022df6b5838acf7bd2efac84489c4f88057f']
c995b715-1f2a-4ab7-a451-af195d7b5a1b,22,MANUEL HUANCACHOQUE,LUIS GÓMEZ DEL RÍO,Luis Gómez del Río participó en la revisión de las denuncias presentadas por Manuel Huancachoque.,7.0,35,['32ff9b2a2e365706d5c8e7ec24009285b0ede81f2a4d2d9bcb54c462b332a1dca68935351b8b8396106d44f7bf4598488f3b8bfcdcd1e7aa48d30414b6cd9301']
81bfa2df-c9be-4a81-b63f-c9bf6c8812a1,23,MANUEL HUANCACHOQUE,MANUEL GALEANO,Manuel Galeano mandó comparecer a Manuel Huancachoque para recibir su declaración sobre las denuncias.,7.0,34,['32ff9b2a2e365706d5c8e7ec24009285b0ede81f2a4d2d9bcb54c462b332a1dca68935351b8b8396106d44f7bf4598488f3b8bfcdcd1e7aa48d30414b6cd9301']
6f3a5a3b-3051-4bd8-9c87-edc02e99fe23,24,MANUEL HUANCACHOQUE,MANUEL VALENCIA,Manuel Valencia asistió a Manuel Huancachoque durante su declaración como abogado protector.,6.0,34,['32ff9b2a2e365706d5c8e7ec24009285b0ede81f2a4d2d9bcb54c462b332a1dca68935351b8b8396106d44f7bf4598488f3b8bfcdcd1e7aa48d30414b6cd9301']
cef5c987-a957-4874-afb2-fa0989f820c0,25,MANUEL HUANCACHOQUE,JUAN CLEMENTE JORDÁN,"Juan Clemente Jordán firmó el documento junto con Manuel Huancachoque, indicando su participación o testimonio en el proceso.",5.0,34,['32ff9b2a2e365706d5c8e7ec24009285b0ede81f2a4d2d9bcb54c462b332a1dca68935351b8b8396106d44f7bf4598488f3b8bfcdcd1e7aa48d30414b6cd9301']
325064ba-29b6-4736-883a-0586b04d5bbe,26,MANUEL HUANCACHOQUE,MARCOS SALCEDO,"Marcos Salcedo firmó el documento junto con Manuel Huancachoque, indicando su participación o testimonio en el proceso.",5.0,34,['32ff9b2a2e365706d5c8e7ec24009285b0ede81f2a4d2d9bcb54c462b332a1dca68935351b8b8396106d44f7bf4598488f3b8bfcdcd1e7aa48d30414b6cd9301']
f07be952-c021-4ef7-9020-b67b6220b2b4,27,MANUEL HUANCACHOQUE,ESCRIBANO,El escribano documentó la declaración de Manuel Huancachoque durante el proceso legal.,1.0,34,['32ff9b2a2e365706d5c8e7ec24009285b0ede81f2a4d2d9bcb54c462b332a1dca68935351b8b8396106d44f7bf4598488f3b8bfcdcd1e7aa48d30414b6cd9301']
af5f71b7-e26e-4a38-8293-ed3586454fb2,28,LUIS GÓMEZ DEL RÍO,REAL AUDIENCIA,"Luis Gómez del Río es fiscal en la Real Audiencia, participando en la revisión de las denuncias.",6.0,3,['32ff9b2a2e365706d5c8e7ec24009285b0ede81f2a4d2d9bcb54c462b332a1dca68935351b8b8396106d44f7bf4598488f3b8bfcdcd1e7aa48d30414b6cd9301']
14ca56ce-3ec1-4a0c-b616-1a22bcb2d9ec,29,CUZCO,TINTA,"Cuzco es la ciudad donde se emitieron órdenes para investigar las denuncias, quejas y eventos ocurridos en Tinta. Durante el periodo colonial, Cuzco desempeñó un papel crucial como centro administrativo y judicial en la región andina, siendo el lugar desde donde se gestionaban y supervisaban las investigaciones relacionadas con las actividades y conflictos en localidades cercanas como Tinta. Esta dinámica refleja la estructura jerárquica y centralizada del sistema colonial español, donde las ciudades principales como Cuzco actuaban como núcleos de control y administración sobre los territorios circundantes.",17.0,9,"['32ff9b2a2e365706d5c8e7ec24009285b0ede81f2a4d2d9bcb54c462b332a1dca68935351b8b8396106d44f7bf4598488f3b8bfcdcd1e7aa48d30414b6cd9301'
 'fb8515c9763bb00eeb0bfc98359372a0d64382eb4725b1134e9293b7cbfd2bb4a0e84b6f546f1cc9621abd6454e756f8bedac63cba6072cfb0c5ebbcc18e5360'
 'fbdc3cae34b0ce0aecfcac241bdf2ab820cbcdaa5997e0c88497bad01a145afcf23b4914f5b4818de3c6f3bbf102c573f3ed105bb3476ffe7476f3aa6f9f3c5b'
 '169b8e27bd606bf36304b2dc773aaefa6e11439128f79115887e23cb492ab716e0d56278909e89c694ebaf6bb447a98d9803a593225515c7c86c194ecf7c338d']"
1522265b-6396-4916-ba7e-99fb0f975cb7,30,CUZCO,ANTONIO CHACÓN,"Antonio Chacón firmó el documento en Cuzco, indicando su participación en el proceso legal.",4.0,4,['32ff9b2a2e365706d5c8e7ec24009285b0ede81f2a4d2d9bcb54c462b332a1dca68935351b8b8396106d44f7bf4598488f3b8bfcdcd1e7aa48d30414b6cd9301']
6491a144-4e8c-4c6f-9076-806651843bfd,31,MANUEL HUANCACHOQUE,PEDRO DE LA MATA,"Pedro de la Mata desempeñó un papel crucial en el proceso judicial relacionado con Manuel Huancachoque en la región de Tinta. De la Mata no solo informó sobre las diligencias realizadas y las acusaciones presentadas contra Huancachoque, sino que también ordenó una investigación exhaustiva sobre las denuncias que este último había presentado. Además, participó activamente en la recolección de información y declaraciones, lo que indica su involucramiento directo en el esclarecimiento de los hechos y en la administración de justicia en este caso particular.",27.0,36,"['fb8515c9763bb00eeb0bfc98359372a0d64382eb4725b1134e9293b7cbfd2bb4a0e84b6f546f1cc9621abd6454e756f8bedac63cba6072cfb0c5ebbcc18e5360'
 '4ce47ef99f1d789556357efcd125fb9ec2cfe321a60756ea8c26fd2123fe22198b2e5f8e5ca8d0e7ba30dfde1c6477e2ce3d1f6f5b074bc0768f748350b774f1'
 'fbdc3cae34b0ce0aecfcac241bdf2ab820cbcdaa5997e0c88497bad01a145afcf23b4914f5b4818de3c6f3bbf102c573f3ed105bb3476ffe7476f3aa6f9f3c5b']"
724bd6f5-0ed0-4d03-9c7e-d6aa71e1d310,32,ANDRÉS CHUQUITAPA,MARIANO FIGUEROA,Mariano Figueroa notificó a Andrés Chuquitapa sobre las diligencias a realizar en el caso.,6.0,13,['fb8515c9763bb00eeb0bfc98359372a0d64382eb4725b1134e9293b7cbfd2bb4a0e84b6f546f1cc9621abd6454e756f8bedac63cba6072cfb0c5ebbcc18e5360']
7cfcbc6c-06f4-4fd5-918b-bd919cb93951,33,TINTA,RUIZ DE CASTILLA,Ruiz de Castilla envió un expediente al subdelegado de Tinta para investigar las denuncias de Manuel Huancachoque.,7.0,7,['fb8515c9763bb00eeb0bfc98359372a0d64382eb4725b1134e9293b7cbfd2bb4a0e84b6f546f1cc9621abd6454e756f8bedac63cba6072cfb0c5ebbcc18e5360']
2102b438-fd31-4e60-9bc8-2c1151cd75f6,34,TINTA,SICUANI,Desde Sicuani se recibió la orden para investigar las denuncias ocurridas en Tinta.,1.0,7,['fb8515c9763bb00eeb0bfc98359372a0d64382eb4725b1134e9293b7cbfd2bb4a0e84b6f546f1cc9621abd6454e756f8bedac63cba6072cfb0c5ebbcc18e5360']
0d303774-a558-4388-9fe7-197b8eebb5e2,35,ISIDRO CANO,MANUEL HUANCACHOQUE,Manuel Huancachoque solicitó a Isidro Cano que le proporcionara una certificación sobre los eventos ocurridos durante su encarcelamiento.,7.0,36,['4ce47ef99f1d789556357efcd125fb9ec2cfe321a60756ea8c26fd2123fe22198b2e5f8e5ca8d0e7ba30dfde1c6477e2ce3d1f6f5b074bc0768f748350b774f1']
46075b0f-03c9-44bf-8af1-f2dbba967068,36,ISIDRO CANO,SANTIAGO CAZORLA,Isidro Cano recibió información de Santiago Cazorla sobre el levantamiento de los indios durante la noche en que Manuel Huancachoque estuvo encarcelado.,5.0,5,['4ce47ef99f1d789556357efcd125fb9ec2cfe321a60756ea8c26fd2123fe22198b2e5f8e5ca8d0e7ba30dfde1c6477e2ce3d1f6f5b074bc0768f748350b774f1']
83d98e86-649b-4371-940b-063accfa4b0d,37,ISIDRO CANO,TÚPAC AMARU,Túpac Amaru comisionó a Isidro Cano durante su tiempo de actividad rebelde.,7.0,8,['4ce47ef99f1d789556357efcd125fb9ec2cfe321a60756ea8c26fd2123fe22198b2e5f8e5ca8d0e7ba30dfde1c6477e2ce3d1f6f5b074bc0768f748350b774f1']
ad40b8fe-17b0-4406-9232-ff1e2f30eec1,38,MANUEL HUANCACHOQUE,MARIANO CAZORLA,Mariano Cazorla fue llamado a declarar sobre los eventos relacionados con la encarcelación de Manuel Huancachoque.,6.0,35,['4ce47ef99f1d789556357efcd125fb9ec2cfe321a60756ea8c26fd2123fe22198b2e5f8e5ca8d0e7ba30dfde1c6477e2ce3d1f6f5b074bc0768f748350b774f1']
c3c4a369-b890-4bd5-810b-946c05123df7,39,MANUEL HUANCACHOQUE,REAL CÁRCEL,Manuel Huancachoque fue encarcelado en la Real Cárcel debido a sus denuncias en favor de la Real Hacienda.,8.0,34,['4ce47ef99f1d789556357efcd125fb9ec2cfe321a60756ea8c26fd2123fe22198b2e5f8e5ca8d0e7ba30dfde1c6477e2ce3d1f6f5b074bc0768f748350b774f1']
ce8f620f-a8b8-4297-b856-533d892a1815,40,MARIANO FIGUEROA,CELEDONIO APARICIO,Mariano Figueroa y Celedonio Aparicio fueron testigos en el proceso de certificación de declaraciones en el caso de Manuel Huancachoque.,1.0,3,['4ce47ef99f1d789556357efcd125fb9ec2cfe321a60756ea8c26fd2123fe22198b2e5f8e5ca8d0e7ba30dfde1c6477e2ce3d1f6f5b074bc0768f748350b774f1']
afd3081f-cfad-4d89-80c3-74b152c22150,41,MARIANO CAZORLA,SIMÓN ARCE,Simón Arce fue encargado por Mariano Cazorla de transcribir información sobre los eventos relacionados con Manuel Huancachoque.,6.0,3,['4ce47ef99f1d789556357efcd125fb9ec2cfe321a60756ea8c26fd2123fe22198b2e5f8e5ca8d0e7ba30dfde1c6477e2ce3d1f6f5b074bc0768f748350b774f1']
8a99413e-5eb3-4aea-8361-037f89f80d17,42,MANUEL HUANCACHOQUE,FERNANDO ORUE,Fernando Orue declaró sobre los eventos relacionados con la prisión de Manuel Huancachoque y el alboroto de los indios.,6.0,35,['5820a90c905d8b7be94bf0f50625f67e90e2f2aea63590cf9f938ff9cd00ee9a6f199ebc1b0cc47384cff2aa03183d802e859c3fac30430ae7d7f334d6291d97']
e0e7c86a-b30b-48db-bae1-5a13c7b681f7,43,MANUEL HUANCACHOQUE,ROSA,"Rosa, la madre de Huancachoque, visitó a su hijo mientras estaba preso, preocupada por las amenazas contra él.",6.0,34,['5820a90c905d8b7be94bf0f50625f67e90e2f2aea63590cf9f938ff9cd00ee9a6f199ebc1b0cc47384cff2aa03183d802e859c3fac30430ae7d7f334d6291d97']
451bb88b-46d8-49bc-8521-7d3eaff2a3f6,44,MANUEL HUANCACHOQUE,MADRE DE HUANCACHOQUE,La madre de Huancachoque expresó preocupación por las amenazas contra su hijo durante el levantamiento de los indios.,6.0,34,['5820a90c905d8b7be94bf0f50625f67e90e2f2aea63590cf9f938ff9cd00ee9a6f199ebc1b0cc47384cff2aa03183d802e859c3fac30430ae7d7f334d6291d97']
a0d2966b-d38d-4dff-8326-a35c454543cf,45,MANUEL HUANCACHOQUE,ESPOSA DE HUANCACHOQUE,"La esposa de Huancachoque lo visitó mientras estaba preso, mostrando apoyo durante su encarcelamiento.",5.0,34,['5820a90c905d8b7be94bf0f50625f67e90e2f2aea63590cf9f938ff9cd00ee9a6f199ebc1b0cc47384cff2aa03183d802e859c3fac30430ae7d7f334d6291d97']
f81320b6-8612-42e7-bde4-6164a17078f1,46,FERNANDO ORUE,ANDRÉS CHUQUITAPA,Fernando Orue mencionó a Andrés Chuquitapa en el contexto de un motín y encarcelamiento que afectó a su familia.,1.0,13,['5820a90c905d8b7be94bf0f50625f67e90e2f2aea63590cf9f938ff9cd00ee9a6f199ebc1b0cc47384cff2aa03183d802e859c3fac30430ae7d7f334d6291d97']
59603e67-67a4-464a-a531-0fb2cdb304d1,47,ANDRÉS CHUQUITAPA,JUAN ANTONIO REPARAZ,"Durante el tiempo de Juan Antonio Reparaz como corregidor, Andrés Chuquitapa estuvo involucrado en eventos de motín y encarcelamiento.",6.0,12,['5820a90c905d8b7be94bf0f50625f67e90e2f2aea63590cf9f938ff9cd00ee9a6f199ebc1b0cc47384cff2aa03183d802e859c3fac30430ae7d7f334d6291d97']
5f7f9440-5ec9-404a-a1a1-95d95d107a4b,48,ANDRÉS CHUQUITAPA,DIEGO ORUE,"Andrés Chuquitapa encarceló a Diego Orue, lo que provocó un motín en su contra.",7.0,12,['5820a90c905d8b7be94bf0f50625f67e90e2f2aea63590cf9f938ff9cd00ee9a6f199ebc1b0cc47384cff2aa03183d802e859c3fac30430ae7d7f334d6291d97']
a29863cd-7169-42c0-bd16-d860a01fdddc,49,ANDRÉS CHUQUITAPA,CORRAL DE CHUQUITAPA,"El corral de Chuquitapa es el lugar relacionado con el encarcelamiento de Diego Orue, que llevó a un motín.",1.0,12,['5820a90c905d8b7be94bf0f50625f67e90e2f2aea63590cf9f938ff9cd00ee9a6f199ebc1b0cc47384cff2aa03183d802e859c3fac30430ae7d7f334d6291d97']
eaa7b4ec-5e3b-4d34-940b-d9783fff5834,50,MANUEL HUANCACHOQUE,ANTOLÍN ORTIZ,"Manuel Huancachoque es hijo de Antolín Ortiz, un conocido caudillo insurrecto.",7.0,36,['def17fb0e1737486aa172a878494bfb1e4a549eb4cb10ce54e7568ca71ee7775162868494aa2ac1f2a473bc91fd7b6e8ca742ae28099ab10b55bc72d2dc240e9']
0bb7eaaf-32a5-4692-b8df-c2747ef88207,51,MANUEL HUANCACHOQUE,AGUSTINA FALCÓN,Manuel Huancachoque es hijo de Agustina Falcón.,6.0,34,['def17fb0e1737486aa172a878494bfb1e4a549eb4cb10ce54e7568ca71ee7775162868494aa2ac1f2a473bc91fd7b6e8ca742ae28099ab10b55bc72d2dc240e9']
8f7bcf33-b125-4f95-aecc-b0193ad14cf2,52,MANUEL HUANCACHOQUE,PEDRO DE MATA,Pedro de Mata solicita información sobre la conducta de Manuel Huancachoque en Tinta.,6.0,34,['def17fb0e1737486aa172a878494bfb1e4a549eb4cb10ce54e7568ca71ee7775162868494aa2ac1f2a473bc91fd7b6e8ca742ae28099ab10b55bc72d2dc240e9']
0165682e-7ce5-468b-a0b1-a54e95070f58,53,MANUEL HUANCACHOQUE,ATANASIO SOTELO,Atanasio Sotelo estuvo presente durante un incidente escandaloso protagonizado por Manuel Huancachoque en Tinta.,5.0,34,['def17fb0e1737486aa172a878494bfb1e4a549eb4cb10ce54e7568ca71ee7775162868494aa2ac1f2a473bc91fd7b6e8ca742ae28099ab10b55bc72d2dc240e9']
dea7a0ff-d76e-414f-9e3a-706ba85a54b4,54,MANUEL HUANCACHOQUE,ANTONIO VALDÉS,Antonio Valdés es el tío del párroco interino que tiene información sobre la conducta de Manuel Huancachoque.,5.0,34,['def17fb0e1737486aa172a878494bfb1e4a549eb4cb10ce54e7568ca71ee7775162868494aa2ac1f2a473bc91fd7b6e8ca742ae28099ab10b55bc72d2dc240e9']
e92c13d1-5bf1-4aea-9460-fc6db4356b53,55,MANUEL HUANCACHOQUE,DOCTRINA,La Doctrina es la comunidad donde se encuentra el párroco interino que tiene información sobre Manuel Huancachoque.,1.0,34,['def17fb0e1737486aa172a878494bfb1e4a549eb4cb10ce54e7568ca71ee7775162868494aa2ac1f2a473bc91fd7b6e8ca742ae28099ab10b55bc72d2dc240e9']
